stroke_binary,n,age_mean,age_sd,charlson_mean,pct_female
hemorrhagic,2723,65.14616232096952,16.039167564992386,1.6088872567021668,0
ischemic,2844,67.41244725738396,15.74336031726305,2.4834739803094235,0
